"outcome","tau","n_e","n_o","n_eo","alpha_o_id","normalized_bias","coverage","rmse","avg_bias","sd_est","avg_se","n_sims","prop_na","estimator"
"Ybin",0.15,1000,1000,500,"05km",-0.0149267898526428,0.954,0.0390061315318492,-0.000582754391530921,0.0390408384712233,0.0395091341501324,500,0,"Benchmark"
"Ybin",0.15,1000,1000,500,"10km",-0.0149267898526428,0.954,0.0390061315318492,-0.000582754391530921,0.0390408384712233,0.0395091341501324,500,0,"Benchmark"
"Ybin",0.2,1000,1000,500,"02km",0.0216759529014794,0.952,0.0412492282863767,0.000894801183027578,0.0412808233665477,0.0401181836214144,500,0,"Benchmark"
"Ybin",0.2,1000,1000,500,"05km",0.0216759529014794,0.952,0.0412492282863767,0.000894801183027578,0.0412808233665477,0.0401181836214144,500,0,"Benchmark"
"Ybin",0.2,1000,1000,500,"10km",0.0216759529014794,0.952,0.0412492282863767,0.000894801183027578,0.0412808233665477,0.0401181836214144,500,0,"Benchmark"
"Ybin",0,1000,1000,100,"02km",0.548709331100576,0.926,0.0448408798323553,0.0215872936945362,0.0393419474956575,0.0395365412245125,500,0,"PPIO"
"Ybin",0,1000,1000,100,"05km",0.738555976112047,0.912,0.0487653522536761,0.0289898787743319,0.039252107777859,0.0394499902987242,500,0,"PPIO"
"Ybin",0,1000,1000,100,"10km",0.556566741149768,0.926,0.0449972934666993,0.0218997185049897,0.0393478749013079,0.0395318440632667,500,0,"PPIO"
"Ybin",0.05,1000,1000,100,"02km",0.458928257367818,0.94,0.0462893120450841,0.0193233094712686,0.0421052945880853,0.0428040901441719,500,0,"PPIO"
"Ybin",0.05,1000,1000,100,"05km",0.637147625021403,0.93,0.0495647244303159,0.0266523707793516,0.0418307621855396,0.0427717416281002,500,0,"PPIO"
"Ybin",0.05,1000,1000,100,"10km",0.465780953628576,0.942,0.0464048533472696,0.0196094579314595,0.0421001712901651,0.0427914820147948,500,0,"PPIO"
"Ybin",0.1,1000,1000,100,"02km",0.471079636057648,0.934,0.0509274579038635,0.0217210773144277,0.0461091409006896,0.0455791945312943,500,0,"PPIO"
"Ybin",0.1,1000,1000,100,"05km",0.63891087789097,0.924,0.0543806829904125,0.0292995058217259,0.0458585177301142,0.045554383825093,500,0,"PPIO"
"Ybin",0.1,1000,1000,100,"10km",0.476608032064436,0.936,0.0510490356790572,0.0219812984531567,0.0461202853798841,0.0455650257231513,500,0,"PPIO"
"Ybin",0.15,1000,1000,100,"02km",0.446459942751981,0.934,0.0524238169213829,0.0213897074003714,0.0479095778862603,0.0476386175921033,500,0,"PPIO"
"Ybin",0.15,1000,1000,100,"05km",0.604950345380038,0.932,0.0558711768272403,0.0289404945077623,0.0478394544755264,0.0476529681947951,500,0,"PPIO"
"Ybin",0.15,1000,1000,100,"10km",0.453141575137466,0.934,0.0525578204431727,0.021710887139509,0.0479119293631857,0.0476664584195751,500,0,"PPIO"
"Ybin",0.2,1000,1000,100,"02km",0.402645645457685,0.928,0.0569575970727704,0.0212922987262378,0.0528809859648052,0.0497517582665267,500,0,"PPIO"
"Ybin",0.2,1000,1000,100,"05km",0.548410614732997,0.926,0.0600917285804406,0.028917255100238,0.0527292038545184,0.049642758861703,500,0,"PPIO"
"Ybin",0.2,1000,1000,100,"10km",0.408864341701188,0.928,0.0570976489732076,0.0216273249709363,0.0528960898887639,0.0497205451217045,500,0,"PPIO"
"Ybin",0,1000,1000,250,"02km",0.616658895130664,0.906,0.0367933568208029,0.0193262478916265,0.0313402564111744,0.030335961381436,500,0,"PPIO"
"Ybin",0,1000,1000,250,"05km",0.838365480223555,0.86,0.04076905831896,0.0262077784259656,0.0312605648063864,0.0302644867880776,500,0,"PPIO"
"Ybin",0,1000,1000,250,"10km",0.626181697578125,0.906,0.0369471989883356,0.019622679836264,0.0313370382944093,0.0303360810715879,500,0,"PPIO"
"Ybin",0.05,1000,1000,250,"02km",0.537542291720784,0.91,0.0377598890162124,0.0178921372562126,0.033285078275304,0.0323678268939544,500,0,"PPIO"
"Ybin",0.05,1000,1000,250,"05km",0.747252918165316,0.89,0.0412743111788115,0.024722288328631,0.0330842312256607,0.0323364119477187,500,0,"PPIO"
"Ybin",0.05,1000,1000,250,"10km",0.54717808310039,0.908,0.0379044731333411,0.0182088100755796,0.0332776670666446,0.032358681304492,500,0,"PPIO"
"Ybin",0.1,1000,1000,250,"02km",0.552244115822865,0.926,0.0388142703190717,0.0187782329006459,0.0340035001960421,0.0341101735759167,500,0,"PPIO"
"Ybin",0.1,1000,1000,250,"05km",0.755616985969116,0.894,0.0424179839702307,0.0255885814779502,0.0338644868406863,0.0340518757533001,500,0,"PPIO"
"Ybin",0.1,1000,1000,250,"10km",0.558781154955009,0.924,0.0389246396500947,0.0190016592124037,0.0340055476887614,0.0341026743739478,500,0,"PPIO"
"Ybin",0.15,1000,1000,250,"02km",0.532220991130901,0.914,0.0417035311944118,0.0196085885464455,0.0368429447038151,0.0356193425169144,500,0,"PPIO"
"Ybin",0.15,1000,1000,250,"05km",0.718255776634875,0.884,0.0452262443407176,0.0264011167097617,0.0367572633156597,0.035593319843686,500,0,"PPIO"
"Ybin",0.15,1000,1000,250,"10km",0.54027482729742,0.914,0.0418302898710847,0.0198988560197177,0.0368309886271333,0.0356160127179989,500,0,"PPIO"
"Ybin",0.2,1000,1000,250,"02km",0.563549364604215,0.936,0.0417297636797157,0.0205030257319246,0.0363819516437998,0.0370971316428341,500,0,"PPIO"
"Ybin",0.2,1000,1000,250,"05km",0.75581475744119,0.914,0.0452572484430252,0.0273059079471334,0.0361277782397072,0.0370631093273972,500,0,"PPIO"
"Ybin",0.2,1000,1000,250,"10km",0.570669865996107,0.938,0.0418630110321186,0.0207647405016987,0.0363866076325123,0.0370949917246348,500,0,"PPIO"
"Ybin",0,1000,1000,500,"02km",0.610504869814457,0.91,0.0352418643232507,0.0183769839168192,0.0301012896463943,0.0296646722803992,500,0,"PPIO"
"Ybin",0,1000,1000,500,"05km",0.814013463898516,0.87,0.0387754299140047,0.024493641098113,0.0300899704788748,0.0296294349525705,500,0,"PPIO"
"Ybin",0,1000,1000,500,"10km",0.61910967462663,0.91,0.0353556145627131,0.0186244081344397,0.0300825667853949,0.0296535995007369,500,0,"PPIO"
"Ybin",0.05,1000,1000,500,"02km",0.498334440739609,0.928,0.0345028390051557,0.0154013203109513,0.0309055908078383,0.0310564943138283,500,0,"PPIO"
"Ybin",0.05,1000,1000,500,"05km",0.692179982677512,0.898,0.0376978499843142,0.0214698365653658,0.0310177079699929,0.0310423326323049,500,0,"PPIO"
"Ybin",0.05,1000,1000,500,"10km",0.506625393379051,0.928,0.0346293383478545,0.0156626958212037,0.0309157338457472,0.0310757819403995,500,0,"PPIO"
