"outcome","tau","n_e","n_o","normalized_bias","coverage","rmse","avg_bias","sd_est","avg_se","n_sims","prop_na","estimator"
"Ymidinc",0.2,3000,1000,-20.7326704665005,0,0.160717705808109,-0.160531454928112,0.00774292222449085,0.0073374079543026,500,0,"Common practice"
"Ymidinc",0,3000,1500,-0.0410679023878278,0.954,0.00733020277910001,-0.000301083239780352,0.00733135179238155,0.0073337695136102,500,0,"Common practice"
"Ymidinc",0.05,3000,1500,-4.96717089352838,0.002,0.0394322116111521,-0.0386581127866167,0.00778272252258999,0.00742843456242394,500,0,"Common practice"
"Ymidinc",0.1,3000,1500,-9.828773836358,0,0.0781427127235298,-0.0777421770213612,0.00790965163261587,0.00753384633070056,500,0,"Common practice"
"Ymidinc",0.15,3000,1500,-14.3332319920031,0,0.116102819659696,-0.11582183910346,0.0080806505586514,0.00762705562020258,500,0,"Common practice"
"Ymidinc",0.2,3000,1500,-19.4669883214288,0,0.154705710442337,-0.154502403315996,0.0079366361537251,0.0076580188508862,500,0,"Common practice"
"Ymidinc",0,3000,500,-0.0370373229531345,0.952,0.0066856970732413,-0.000247698140424751,0.00668779816344118,0.0068824888225416,500,0,"Common practice"
"Ymidinc",0.05,3000,500,-5.87917882823906,0,0.0425107339733345,-0.0419099983682067,0.00712854628046069,0.00694264185441772,500,0,"Common practice"
"Ymidinc",0.1,3000,500,-11.9223201893821,0,0.0841429665373657,-0.0838491222916048,0.00703295339830578,0.00701539886832926,500,0,"Common practice"
"Ymidinc",0.15,3000,500,-16.4482782850829,0,0.125283604937968,-0.125053166781701,0.00760281195479974,0.00708015436433219,500,0,"Common practice"
"Ymidinc",0.2,3000,500,-21.9251383837603,0,0.167394153899475,-0.16722066145622,0.00762689195066057,0.00705467576071608,500,0,"Common practice"
"Ycons",0,3000,1000,-0.0887412380876429,0.946,0.0488172290144609,-0.00431943157813235,0.0486744570079851,0.050359109764424,500,0,"RSV"
"Ycons",0.05,3000,1000,0.00208360706459838,0.938,0.0549515666872928,0.000114611892778513,0.0550064811767206,0.0516382112832213,500,0,"RSV"
"Ycons",0.1,3000,1000,0.0742270065488776,0.942,0.0584851286831521,0.00433357802271456,0.0583827669227231,0.0551004742902321,500,0,"RSV"
"Ycons",0.15,3000,1000,0.068150665494589,0.934,0.0605390607832351,0.00412033274078187,0.0604591710275965,0.056607412331507,500,0,"RSV"
"Ycons",0.2,3000,1000,0.102614350332656,0.96,0.0586722033157449,0.00599509611649126,0.0584235645117503,0.0588078965062168,500,0,"RSV"
"Ycons",0,3000,1500,0.00474462856208718,0.95,0.043648100407165,0.000207299091086689,0.0436913213276906,0.0440986470343375,500,0,"RSV"
"Ycons",0.05,3000,1500,-0.0398361699725365,0.962,0.0465073916826491,-0.00185305913000885,0.046517000286081,0.0466774682995957,500,0,"RSV"
"Ycons",0.1,3000,1500,0.0724749734280372,0.956,0.0472195888400733,0.00341668636327959,0.0471429819380635,0.0479436323746613,500,0,"RSV"
"Ycons",0.15,3000,1500,0.0186447456631168,0.936,0.0482475565437356,0.000900307550297512,0.0482874675023594,0.0498793692001488,500,0,"RSV"
"Ycons",0.2,3000,1500,0.109048694756935,0.954,0.0508315846267933,0.00551590447717959,0.0505820311694175,0.051034492751925,500,0,"RSV"
"Ycons",0,3000,500,-0.0213590991237558,0.982,0.0666127401222544,-0.00142388763464672,0.0666642177367424,0.0704306482182909,500,0,"RSV"
"Ycons",0.05,3000,500,0.0755145794308502,0.972,0.0738875319579803,0.00556928542128249,0.0737511281034461,0.0746744918105131,500,0,"RSV"
"Ycons",0.1,3000,500,0.16091085653377,0.966,0.0776860296052718,0.0123538161346395,0.0767742860908012,0.078663310326944,500,0,"RSV"
"Ycons",0.15,3000,500,0.169819818531139,0.964,0.0901419096686514,0.0151065049666651,0.0889560776670782,0.0875589194164215,500,0,"RSV"
"Ycons",0.2,3000,500,0.21644154699474,0.958,0.0957473097580436,0.0202740667207598,0.0936699400011796,0.0945071925857754,500,0,"RSV"
"Ylowinc",0,3000,1000,0.00675624331681391,0.988,0.0396339565032715,0.000268038702986199,0.0396727427384306,0.0418179815055606,500,0,"RSV"
"Ylowinc",0.05,3000,1000,0.132019467944176,0.948,0.055811120776752,0.0073119617514988,0.055385481136696,0.0516345762922224,500,0,"RSV"
"Ylowinc",0.1,3000,1000,0.230734014673234,0.946,0.0635054397672821,0.0142913082453912,0.0619384543957708,0.0622661391860431,500,0,"RSV"
"Ylowinc",0.15,3000,1000,0.241067193985065,0.932,0.0815797725042852,0.0191366241728876,0.0793829465409266,0.073533621070669,500,0,"RSV"
"Ylowinc",0.2,3000,1000,0.295557905855705,0.898,0.101860116430409,0.0288975449703464,0.0977728708920226,0.0837566075876583,500,0,"RSV"
"Ylowinc",0,3000,1500,0.0251749960299353,0.962,0.0329390800173907,0.000829808252549363,0.0329616041076093,0.0332698428931625,500,0,"RSV"
"Ylowinc",0.05,3000,1500,0.0504522716571156,0.958,0.036231633623034,0.00182746991004603,0.0362217567221929,0.0379046877381258,500,0,"RSV"
"Ylowinc",0.1,3000,1500,0.221787787921076,0.952,0.0490460333893178,0.0106298910276021,0.047928207081378,0.0467350335674089,500,0,"RSV"
"Ylowinc",0.15,3000,1500,0.181244551923217,0.93,0.0616732460440479,0.0110094118201999,0.0607434083031854,0.0531624236949228,500,0,"RSV"
"Ylowinc",0.2,3000,1500,0.140507593411429,0.922,0.0652165023306534,0.00908318935598253,0.0646455407529861,0.0587185275821732,500,0,"RSV"
"Ylowinc",0,3000,500,-0.0467800882892966,0.998,0.210438192550335,-0.00984339013812273,0.21041837452827,0.438109977174316,500,0,"RSV"
"Ylowinc",0.05,3000,500,0.0359598480111213,0.982,0.175505818811049,0.00631339439956844,0.175567883312963,0.706255494810022,500,0,"RSV"
"Ylowinc",0.1,3000,500,0.309488596542175,0.954,0.188261997314012,0.0557110945304043,0.180010168881335,0.78001317843898,500,0,"RSV"
"Ylowinc",0.15,3000,500,0.222966572280941,0.938,0.4832649153645,0.105269759687977,0.472132475335075,6.81878535885099,500,0,"RSV"
"Ylowinc",0.2,3000,500,0.233581825904665,0.952,0.575541485539802,0.131036460841589,0.560987398459121,1.29085051922155,500,0,"RSV"
"Ymidinc",0,3000,1000,0.0671896120822584,0.97,0.0504579255142855,0.00338599416807241,0.0503946080820802,0.0521747403946384,500,0,"RSV"
"Ymidinc",0.05,3000,1000,0.00314211510545662,0.954,0.0548229850856405,0.00017243179561143,0.0548776190000117,0.0543023531466405,500,0,"RSV"
"Ymidinc",0.1,3000,1000,0.0738788908997777,0.962,0.0553440829268566,0.00408170809726748,0.0552486379743386,0.0569484293674948,500,0,"RSV"
"Ymidinc",0.15,3000,1000,0.143960902819861,0.954,0.0621724700959114,0.00886776665711867,0.06159843737723,0.058976931129791,500,0,"RSV"
"Ymidinc",0.2,3000,1000,0.106447436324703,0.938,0.0669595622020713,0.00709465029874581,0.0666493298824461,0.0619349053511356,500,0,"RSV"
"Ymidinc",0,3000,1500,-0.0213978729787214,0.96,0.0454834075973983,-0.00097399948558976,0.0455185188994407,0.0455866307768293,500,0,"RSV"
"Ymidinc",0.05,3000,1500,0.00586568333897286,0.958,0.0472760687562404,0.000277579387178591,0.0473226001366787,0.047509903967494,500,0,"RSV"
"Ymidinc",0.1,3000,1500,0.00666506823650407,0.946,0.048884833938921,0.000326139805721464,0.0489327031845258,0.0485264468787472,500,0,"RSV"
"Ymidinc",0.15,3000,1500,0.0671012064205276,0.946,0.0524128398302632,0.00351257229857633,0.0523473792194259,0.0508898374762538,500,0,"RSV"
"Ymidinc",0.2,3000,1500,0.163012091693415,0.936,0.0584438196170868,0.00941210948883024,0.0577387198155339,0.0527770904097924,500,0,"RSV"
"Ymidinc",0,3000,500,-0.0727228808832772,0.984,0.0637286909662013,-0.00462693214197005,0.0636241590785773,0.0774383216323617,500,0,"RSV"
"Ymidinc",0.05,3000,500,0.054539683534461,0.98,0.0726898241209098,0.00396254956896067,0.0726544290719422,0.0795259164858134,500,0,"RSV"
"Ymidinc",0.1,3000,500,0.15619392682782,0.958,0.0813029319102721,0.0125591620632493,0.0804074929052386,0.082849658309406,500,0,"RSV"
"Ymidinc",0.15,3000,500,0.172487148378826,0.948,0.0887431696954411,0.0150989780047277,0.0875368289558967,0.0892714907807581,500,0,"RSV"
"Ymidinc",0.2,3000,500,0.19195831690857,0.942,0.106182502342806,0.0200364883354779,0.104379370782988,0.0929425607842168,500,0,"RSV"
