"shrid2","lat","lon","Ycons","Ylowinc","Ymidinc","wave","D","R_PC1","R_PC1_scaled"
"11-28-532-04307-569044",19.725,78.585,1,0,0,"Holdout",NA,-66.6407478542075,-1.36665976060203
"11-28-532-04307-569045",19.725,78.605,1,0,0,"Holdout",NA,-37.5640230408778,-0.770358082544444
"11-28-532-04307-569046",19.745,78.595,0,0,0,"Holdout",NA,2.28558386823668,0.0468724557088383
"11-28-532-04307-569047",19.765,78.605,0,0,0,"Holdout",NA,-26.8759671427608,-0.551168826940983
"11-28-532-04307-569048",19.795,78.625,0,0,1,"Holdout",NA,-55.4960432653448,-1.13810561323986
"11-28-532-04307-569049",19.755,78.635,0,0,0,"Holdout",NA,-71.2078168647979,-1.46032061588416
"11-28-532-04307-569050",19.785,78.645,0,0,0,"Holdout",NA,-70.106143492709,-1.43772764213401
"11-28-532-04307-569052",19.775,78.655,0,0,0,"Holdout",NA,-70.5935094823006,-1.44772248024894
"11-28-532-04307-569054",19.775,78.675,0,1,1,"Holdout",NA,-52.0147630071574,-1.06671197200025
"11-28-532-04307-569056",19.775,78.695,0,0,0,"Holdout",NA,-47.0330316146302,-0.964547274701386
"11-28-532-04307-569057",19.745,78.685,0,0,1,"Holdout",NA,-53.6121819243753,-1.09947163069679
"11-28-532-04307-569058",19.745,78.705,0,0,0,"Holdout",NA,-57.9119470019463,-1.18765065180282
"11-28-532-04307-569059",19.735,78.695,0,0,1,"Holdout",NA,-28.4167026479562,-0.582766029620762
"11-28-532-04307-569060",19.705,78.695,0,1,1,"Holdout",NA,-30.566048751844,-0.6268445390369
"11-28-532-04307-569061",19.715,78.685,0,1,1,"Holdout",NA,-30.3158473135387,-0.621713440590575
"11-28-532-04307-569062",19.725,78.645,0,0,0,"Holdout",NA,8.85838790422529,0.181666663150211
"11-28-532-04307-569063",19.715,78.605,0,0,0,"Holdout",NA,-40.6396500556883,-0.833432640005262
"11-28-532-04307-569064",19.705,78.605,0,0,0,"Holdout",NA,-58.1260541268909,-1.19204153278093
"11-28-532-04307-569065",19.695,78.625,1,0,1,"Holdout",NA,-10.3353856460704,-0.211956740096763
"11-28-532-04307-569066",19.685,78.635,0,0,1,"Holdout",NA,-30.6770828724556,-0.629121612292826
"11-28-532-04307-569067",19.675,78.645,0,1,1,"Holdout",NA,-24.3204815741965,-0.498761262383084
"11-28-532-04307-569068",19.695,78.655,0,0,0,"Holdout",NA,-55.5264208776107,-1.13872859334804
"11-28-532-04307-569069",19.685,78.675,0,0,0,"Holdout",NA,-24.5020156941083,-0.502484140424648
"11-28-532-04307-569070",19.655,78.705,1,0,0,"Holdout",NA,-14.4499695860804,-0.296338090599209
"11-28-532-04307-569071",19.665,78.665,1,1,1,"Holdout",NA,-35.5846169875759,-0.729764681509119
"11-28-532-04307-569072",19.635,78.665,1,0,1,"Holdout",NA,29.3250463532005,0.601394223792133
"11-28-532-04308-569074",19.765,78.735,1,0,0,"Holdout",NA,-72.6406622435629,-1.4897052219304
"11-28-532-04308-569075",19.765,78.755,1,1,1,"Holdout",NA,-45.153325255882,-0.925998501991496
"11-28-532-04308-569076",19.755,78.775,0,1,1,"Holdout",NA,-58.6451451175029,-1.20268698307679
"11-28-532-04308-569077",19.765,78.785,1,1,1,"Holdout",NA,-61.3969681231393,-1.25912101017279
"11-28-532-04308-569078",19.755,78.785,0,0,0,"Holdout",NA,-35.0191583531804,-0.718168329625374
"11-28-532-04308-569079",19.755,78.805,0,1,1,"Holdout",NA,-38.2729464968533,-0.784896592267478
"11-28-532-04308-569080",19.745,78.835,1,0,0,"Holdout",NA,-55.1367069763244,-1.1307363915168
"11-28-532-04308-569082",19.725,78.835,1,1,1,"Holdout",NA,-9.35888811405761,-0.191930856139868
"11-28-532-04308-569084",19.735,78.785,0,0,0,"Holdout",NA,-14.9926580668167,-0.30746747514314
"11-28-532-04308-569085",19.735,78.775,1,1,1,"Holdout",NA,-66.9018434309698,-1.37201427461818
"11-28-532-04308-569086",19.745,78.755,0,0,0,"Holdout",NA,-53.1518643667878,-1.09003149829567
"11-28-532-04308-569087",19.725,78.755,1,0,1,"Holdout",NA,-64.8009405242221,-1.32892923196732
"11-28-532-04308-569088",19.735,78.725,0,0,0,"Holdout",NA,-34.419866344033,-0.705878127307359
"11-28-532-04308-569089",19.725,78.725,0,0,0,"Holdout",NA,-51.9029298133597,-1.0644185114557
"11-28-532-04308-569091",19.705,78.735,1,1,1,"Holdout",NA,-26.1832284263645,-0.536962231745186
"11-28-532-04308-569092",19.715,78.745,0,0,1,"Holdout",NA,-55.0929429684642,-1.12983888495466
"11-28-532-04308-569093",19.715,78.765,1,0,0,"Holdout",NA,-9.42939620724329,-0.193376826913852
"11-28-532-04308-569096",19.715,78.815,1,0,1,"Holdout",NA,-37.5338037422304,-0.769738349111298
"11-28-532-04308-569097",19.715,78.825,0,0,1,"Holdout",NA,-37.6937311508836,-0.773018119537974
"11-28-532-04308-569098",19.715,78.845,0,0,0,"Holdout",NA,-28.7051762865956,-0.588682009357145
"11-28-532-04308-569099",19.685,78.845,1,0,1,"Holdout",NA,-7.45041751486582,-0.152792190140597
"11-28-532-04308-569100",19.695,78.815,0,0,0,"Holdout",NA,1.206912556026,0.0247512052009775
"11-28-532-04308-569102",19.705,78.785,0,0,0,"Holdout",NA,-23.4109510622259,-0.480108729334245
"11-28-532-04308-569103",19.695,78.775,1,1,1,"Holdout",NA,-14.8391934421052,-0.30432024264617
"11-28-532-04308-569104",19.695,78.755,1,1,1,"Holdout",NA,4.46026484576636,0.0914705294075094
"11-28-532-04308-569105",19.685,78.735,1,0,1,"Holdout",NA,-6.40406401158201,-0.131333709040844
"11-28-532-04308-569106",19.685,78.715,1,0,0,"Holdout",NA,-12.7504828384332,-0.26148523815573
"11-28-532-04308-569107",19.655,78.735,0,1,1,"Holdout",NA,11.1178061862687,0.228002518431917
