"shrid2","y_05k_raw","y_10k_raw","y_cons_raw","lat","lon","d_name","sd_name","clusters","wave","tot_p","tot_m","tot_f","urban","y_05k","y_10k","y_cons","D"
"11-28-532-04306-569004",0.037433155,0.005347594,27525.22265625,19.575,78.555,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",762,0.534120735,0.465879265,0,0,0,0,NA
"11-28-532-04306-569005",0,0,12041.2724609375,19.585,78.575,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",553,0.488245931,0.511754069,0,1,1,1,NA
"11-28-532-04306-569006",0,0,19062.091796875,19.565,78.615,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",224,0.526785714,0.473214286,0,1,1,0,NA
"11-28-532-04306-569007",0.002331002,0,21957.98046875,19.595,78.645,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",1769,0.511588468,0.488411532,0,0,1,0,NA
"11-28-532-04306-569008",0.003125,0,28343.42578125,19.615,78.625,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",1213,0.507831822,0.492168178,0,0,1,0,NA
"11-28-532-04306-569009",0.009803922,0.009803922,22520.865234375,19.705,78.545,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",414,0.487922705,0.512077295,0,0,0,0,NA
"11-28-532-04306-569010",0.037500001,0.0125,16303.63671875,19.575,78.675,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",772,0.505181347,0.494818653,0,0,0,1,NA
"11-28-532-04306-569011",0,0,13261.232421875,19.605,78.715,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",434,0.493087558,0.506912442,0,1,1,1,NA
"11-28-532-04306-569012",0.06818182,0,18654.740234375,19.585,78.735,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",478,0.470711297,0.529288703,0,0,1,1,NA
"11-28-532-04306-569013",0.02631579,0,16091.7744140625,19.575,78.775,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",346,0.5,0.5,0,0,1,1,NA
"11-28-532-04306-569014",0,0,22567.302734375,19.565,78.735,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",171,0.520467836,0.479532164,0,1,1,0,NA
"11-28-532-04306-569015",0,0,13721.568359375,19.575,78.705,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",420,0.483333333,0.516666667,0,1,1,1,NA
"11-28-532-04306-569016",0,0,16914.208984375,19.545,78.715,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",661,0.511346445,0.488653555,0,1,1,1,NA
"11-28-532-04306-569017",NA,NA,NA,19.665,78.525,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",NA,NA,NA,NA,NA,NA,NA,NA
"11-28-532-04306-802896",NA,NA,27360.9375,19.675,78.535,"Adilabad","Adilabad","ADILABAD ADILABAD","Holdout",75890,0.515522467,0.484477533,1,NA,NA,0,NA
"11-28-532-04307-569018",0,0,16383.6787109375,19.785,78.495,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",19,0.526315789,0.473684211,0,1,1,1,NA
"11-28-532-04307-569019",0.023569023,0.003367003,20222.654296875,19.765,78.505,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",1248,0.489583333,0.510416667,0,0,0,0,NA
"11-28-532-04307-569020",0.034965035,0.034965035,26219.291015625,19.775,78.515,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",607,0.507413509,0.492586491,0,0,0,0,NA
"11-28-532-04307-569022",0,0,17952.345703125,19.805,78.515,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",605,0.530578512,0.469421488,0,1,1,1,NA
"11-28-532-04307-569023",0.014084507,0,19946.71875,19.805,78.535,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",316,0.496835443,0.503164557,0,0,1,0,NA
"11-28-532-04307-569024",0.035502959,0,19038.552734375,19.815,78.545,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",754,0.530503979,0.469496021,0,0,1,0,NA
"11-28-532-04307-569025",0.036011081,0.011080332,19464.810546875,19.785,78.545,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",1473,0.469789545,0.530210455,0,0,0,0,NA
"11-28-532-04307-569026",0,0,15478.7578125,19.755,78.535,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",380,0.492105263,0.507894737,0,1,1,1,NA
"11-28-532-04307-569028",0.050000001,0.009090909,21316.24609375,19.735,78.535,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",907,0.4707828,0.5292172,0,0,0,0,NA
"11-28-532-04307-569029",0,0,18864.41796875,19.745,78.555,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",157,0.496815287,0.503184713,0,1,1,1,NA
"11-28-532-04307-569030",0,0,18326.138671875,19.755,78.555,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",643,0.502332815,0.497667185,0,1,1,1,NA
"11-28-532-04307-569031",0.036697246,0.003058104,20337.17578125,19.775,78.565,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",1406,0.514935989,0.485064011,0,0,0,0,NA
"11-28-532-04307-569033",0.002923977,0.002923977,22199.833984375,19.795,78.565,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",1272,0.506289308,0.493710692,0,0,0,0,NA
"11-28-532-04307-569034",0,0,18337.265625,19.815,78.555,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",452,0.477876106,0.522123894,0,1,1,1,NA
"11-28-532-04307-569035",0.370370358,0,22959.1171875,19.805,78.575,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",108,0.453703704,0.546296296,0,0,1,0,NA
"11-28-532-04307-569036",0.052930057,0.011342155,22093.509765625,19.805,78.595,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",2098,0.497140133,0.502859867,0,0,0,0,NA
"11-28-532-04307-569038",0.136752144,0.004273504,21724.55078125,19.775,78.595,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",962,0.508316008,0.491683992,0,0,0,0,NA
"11-28-532-04307-569040",0,0,17749.87109375,19.765,78.585,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",695,0.522302158,0.477697842,0,1,1,1,NA
"11-28-532-04307-569041",0,0,41020.0390625,19.755,78.575,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",211,0.578199052,0.421800948,0,1,1,0,NA
"11-28-532-04307-569042",0.020689655,0.013793103,20369,19.745,78.575,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",650,0.507692308,0.492307692,0,0,0,0,NA
"11-28-532-04307-569044",0.027777778,0.027777778,15094.615234375,19.725,78.585,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",168,0.517857143,0.482142857,0,0,0,1,NA
"11-28-532-04307-569045",0.011070111,0.007380074,18730.220703125,19.725,78.605,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",1188,0.499158249,0.500841751,0,0,0,1,NA
"11-28-532-04307-569046",0.004545454,0.004545454,20276.650390625,19.745,78.595,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",977,0.505629478,0.494370522,0,0,0,0,NA
"11-28-532-04307-569047",0.005263158,0.005263158,20142.59765625,19.765,78.605,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",862,0.496519722,0.503480278,0,0,0,0,NA
"11-28-532-04307-569048",0.009646302,0,22101.955078125,19.795,78.625,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",1290,0.50620155,0.49379845,0,0,1,0,NA
"11-28-532-04307-569049",0.331932783,0.044117648,23319.2109375,19.755,78.635,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",1917,0.494001043,0.505998957,0,0,0,0,NA
"11-28-532-04307-569050",0.058139537,0.029069768,20677.044921875,19.785,78.645,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",1526,0.504587156,0.495412844,0,0,0,0,NA
"11-28-532-04307-569052",0.055194806,0.012987013,24919.189453125,19.775,78.655,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",1296,0.479166667,0.520833333,0,0,0,0,NA
"11-28-532-04307-569054",0,0,20412.375,19.775,78.675,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",272,0.511029412,0.488970588,0,1,1,0,NA
"11-28-532-04307-569056",0.055727553,0.00619195,24475.994140625,19.775,78.695,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",1311,0.501906941,0.498093059,0,0,0,0,NA
"11-28-532-04307-569057",0.026548672,0,21455.79296875,19.745,78.685,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",909,0.493949395,0.506050605,0,0,1,0,NA
"11-28-532-04307-569058",0.04109589,0.01369863,23663.833984375,19.745,78.705,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",358,0.477653631,0.522346369,0,0,0,0,NA
"11-28-532-04307-569059",0.010416667,0,24379.728515625,19.735,78.695,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",388,0.515463918,0.484536082,0,0,1,0,NA
"11-28-532-04307-569060",0,0,23315.88671875,19.705,78.695,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",706,0.490084986,0.509915014,0,1,1,0,NA
"11-28-532-04307-569061",0,0,23370.923828125,19.715,78.685,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",646,0.529411765,0.470588235,0,1,1,0,NA
"11-28-532-04307-569062",0.060523938,0.005420054,20090.71875,19.725,78.645,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",4484,0.491748439,0.508251561,0,0,0,0,NA
"11-28-532-04307-569063",0.280000001,0.119999997,23657.5234375,19.715,78.605,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",282,0.5,0.5,0,0,0,0,NA
"11-28-532-04307-569064",0.909547746,0.130653262,21897.23046875,19.705,78.605,"Adilabad","Jainad","JAINAD ADILABAD","Holdout",835,0.513772455,0.486227545,0,0,0,0,NA
