"shrid2","lat","lon","Ycons","Y05k","Y10k","wave","D","R_PC1","R_PC1_scaled"
"11-28-532-04309-569121",19.665,78.325,0,0,0,"Holdout",NA,53.707515557856,1.10180851988894
"11-28-532-04309-569122",19.665,78.355,0,0,0,"Holdout",NA,53.5596592629577,1.09877525119747
"11-28-532-04309-569123",19.685,78.345,1,0,0,"Holdout",NA,56.4607766773773,1.15829161219842
"11-28-532-04309-569124",19.695,78.375,1,0,0,"Holdout",NA,29.3953358931465,0.603044679979212
"11-28-532-04309-569125",19.675,78.405,0,0,0,"Holdout",NA,23.841634298875,0.489110611908286
"11-28-532-04309-569126",19.665,78.425,1,0,1,"Holdout",NA,-23.807764918592,-0.488415782304429
"11-28-532-04309-569127",19.665,78.445,0,0,0,"Holdout",NA,9.63398083122762,0.197640908354038
"11-28-532-04309-569128",19.645,78.455,0,0,1,"Holdout",NA,43.0266953484877,0.882691724337172
"11-28-532-04309-569129",19.645,78.415,0,0,0,"Holdout",NA,56.0643574632253,1.15015908059528
"11-28-532-04309-569130",19.665,78.385,0,0,1,"Holdout",NA,33.6072268714018,0.689451532288101
"11-28-532-04309-569131",19.645,78.385,1,0,0,"Holdout",NA,54.492480375455,1.11791205614192
"11-28-532-04309-569132",19.645,78.365,1,0,1,"Holdout",NA,50.0641473876688,1.0270649006895
"11-28-532-04309-569133",19.635,78.345,0,0,0,"Holdout",NA,34.6573694631492,0.710995184841517
"11-28-532-04309-569134",19.645,78.315,1,0,1,"Holdout",NA,29.4726749454201,0.604631288963636
"11-28-532-04309-569135",19.635,78.315,0,0,0,"Holdout",NA,44.9037569539473,0.921199602569295
"11-28-532-04309-569136",19.605,78.315,1,0,1,"Holdout",NA,60.3199836226767,1.23746315920035
"11-28-532-04309-569137",19.605,78.355,1,0,0,"Holdout",NA,25.316057657719,0.519358375220807
"11-28-532-04309-569138",19.625,78.395,1,1,1,"Holdout",NA,47.7237480456113,0.979051658813811
"11-28-532-04309-569139",19.625,78.415,0,0,1,"Holdout",NA,24.8877125184773,0.510570883955064
"11-28-532-04309-569140",19.615,78.445,1,0,0,"Holdout",NA,19.7216128404587,0.404588460811608
"11-28-532-04309-569142",19.595,78.455,1,0,1,"Holdout",NA,10.3581972360359,0.212498192232708
"11-28-532-04309-569143",19.585,78.435,0,0,0,"Holdout",NA,37.6784045781747,0.772971654876385
"11-28-532-04309-569145",19.605,78.395,0,0,0,"Holdout",NA,50.2729697450385,1.03134888683377
"11-28-532-04309-569146",19.575,78.385,1,0,1,"Holdout",NA,53.8918200433579,1.1055895224222
"11-28-532-04309-569147",19.575,78.415,0,0,0,"Holdout",NA,41.7524837255913,0.856551300456712
"11-28-532-04310-569148",19.575,78.475,1,0,0,"Holdout",NA,-0.830330217799592,-0.0170342064567721
"11-28-532-04310-569149",19.595,78.485,0,0,1,"Holdout",NA,10.6506061703959,0.218496955195824
"11-28-532-04310-569150",19.575,78.505,1,0,1,"Holdout",NA,-5.83841841083111,-0.119775027403761
"11-28-532-04310-569151",19.605,78.515,0,0,0,"Holdout",NA,-26.8310091498762,-0.550437572311561
"11-28-532-04310-569152",19.535,78.565,1,0,0,"Holdout",NA,35.1111734166029,0.720304963130105
"11-28-532-04310-569153",19.535,78.535,1,0,0,"Holdout",NA,1.77643941737551,0.0364436162201993
"11-28-532-04310-569154",19.535,78.505,1,0,0,"Holdout",NA,20.6329204622664,0.423283916959934
"11-28-532-04310-569155",19.545,78.485,1,0,0,"Holdout",NA,-9.98279735278402,-0.204796871748301
"11-28-532-04310-569157",19.535,78.455,1,0,0,"Holdout",NA,24.1383495477765,0.49519771882107
"11-28-532-04310-569158",19.515,78.475,1,0,0,"Holdout",NA,-18.0558207735868,-0.370414772593509
"11-28-532-04310-569159",19.495,78.485,1,0,0,"Holdout",NA,1.52097979195658,0.031202867530735
"11-28-532-04310-569160",19.515,78.495,1,0,1,"Holdout",NA,-22.2529295091862,-0.456518367514076
"11-28-532-04310-569161",19.505,78.525,0,0,0,"Holdout",NA,-23.7693186913855,-0.487627058784944
"11-28-532-04310-569162",19.495,78.555,1,0,0,"Holdout",NA,53.0116905056288,1.08753368399432
"11-28-532-04310-569163",19.485,78.515,1,0,1,"Holdout",NA,35.7446001243251,0.733299698336981
"11-28-532-04310-569164",19.475,78.535,1,1,1,"Holdout",NA,3.30315501379754,0.067764153655468
"11-28-532-04310-569166",19.455,78.555,1,0,0,"Holdout",NA,4.86548235630858,0.0998152652914131
"11-28-532-04310-569167",19.455,78.525,0,0,0,"Holdout",NA,32.7035424052811,0.670912465013794
"11-28-532-04310-569168",19.455,78.545,0,0,0,"Holdout",NA,43.4542000742308,0.891461974538171
"11-28-532-04311-569169",19.545,78.585,0,0,0,"Holdout",NA,10.4322128205852,0.214016620348659
"11-28-532-04311-569170",19.535,78.615,0,1,1,"Holdout",NA,-3.11891200534343,-0.0639844123225061
"11-28-532-04311-569171",19.545,78.645,1,0,0,"Holdout",NA,29.3655647707479,0.602433926047203
"11-28-532-04311-569172",19.535,78.675,1,0,1,"Holdout",NA,43.9664079779717,0.901969908603531
"11-28-532-04311-569173",19.525,78.705,1,0,0,"Holdout",NA,52.1401575066695,1.06965420337334
"11-28-532-04311-569174",19.545,78.765,1,0,1,"Holdout",NA,34.1149114010675,0.699866669432155
"11-28-532-04311-569175",19.515,78.745,0,0,0,"Holdout",NA,50.2691799498974,1.03127113926843
"11-28-532-04311-569176",19.495,78.695,0,0,0,"Holdout",NA,41.2180838027037,0.845588097598607
"11-28-532-04311-569177",19.515,78.665,0,0,0,"Holdout",NA,-27.2385619608827,-0.558798509413332
"11-28-532-04311-569178",19.515,78.645,1,0,1,"Holdout",NA,4.53340798819308,0.0930027668128296
"11-28-532-04311-569179",19.525,78.615,1,0,0,"Holdout",NA,-12.237361007663,-0.251049196358283
"11-28-532-04311-569180",19.515,78.595,0,0,0,"Holdout",NA,20.1659840390601,0.413704726338447
"11-28-532-04311-569181",19.495,78.595,1,0,1,"Holdout",NA,46.8744707415303,0.961628753291832
"11-28-532-04311-569182",19.505,78.625,0,0,0,"Holdout",NA,22.2946706368245,0.457374685844648
"11-28-532-04311-569183",19.505,78.655,0,0,1,"Holdout",NA,35.7832166114941,0.734091914735917
"11-28-532-04311-569184",19.495,78.665,1,0,1,"Holdout",NA,9.01458780629414,0.184934073846001
"11-28-532-04311-569185",19.485,78.655,0,0,0,"Holdout",NA,37.8504014832901,0.776500167664256
"11-28-532-04311-569186",19.465,78.685,0,0,0,"Holdout",NA,53.3419546056698,1.09430904486251
"11-28-532-04311-569187",19.465,78.665,0,1,1,"Holdout",NA,37.7287055897072,0.774003579039883
"11-28-532-04311-569188",19.455,78.635,1,0,1,"Holdout",NA,28.0117164796778,0.57465975764183
"11-28-532-04311-569189",19.485,78.635,1,0,1,"Holdout",NA,18.1152839502174,0.371634658375802
"11-28-532-04311-569190",19.485,78.625,1,1,1,"Holdout",NA,5.20298150882868,0.10673905310471
"11-28-532-04311-569191",19.475,78.605,1,1,1,"Holdout",NA,53.9387118794739,1.10655150742578
"11-28-532-04311-569192",19.475,78.585,1,0,1,"Holdout",NA,38.8153386526168,0.796295832819841
"11-28-532-04311-569193",19.465,78.565,0,0,1,"Holdout",NA,55.3430869025576,1.13536223064543
"11-28-532-04311-569194",19.455,78.585,0,0,0,"Holdout",NA,61.2736134913537,1.2570268553277
"11-28-532-04311-569195",19.435,78.595,1,0,0,"Holdout",NA,-15.6238824187929,-0.320523609851674
"11-28-532-04311-569196",19.435,78.615,1,0,0,"Holdout",NA,13.3184620030387,0.273227959892452
"11-28-532-04311-569197",19.425,78.635,1,0,0,"Holdout",NA,0.712375695792357,0.0146143719893412
"11-28-532-04311-569198",19.425,78.645,1,0,1,"Holdout",NA,37.0481014960802,0.760041000781693
