"shrid2","lat","lon","d_name","sd_name","y_cons","y_05k","y_10k","wave","D","R_PC1","R_PC1_scaled"
"11-28-532-04308-569077",19.765,78.785,"Adilabad","Bela",1,1,1,"Holdout",NA,63.1287757882202,1.30439994592549
"11-28-532-04308-569078",19.755,78.785,"Adilabad","Bela",0,0,0,"Holdout",NA,35.2693005877113,0.72875282634619
"11-28-532-04308-569079",19.755,78.805,"Adilabad","Bela",0,1,1,"Holdout",NA,38.9444887266883,0.804691495358716
"11-28-532-04308-569080",19.745,78.835,"Adilabad","Bela",1,0,0,"Holdout",NA,56.6700475995403,1.17094630937273
"11-28-532-04308-569082",19.725,78.835,"Adilabad","Bela",1,1,1,"Holdout",NA,8.17092260630391,0.168831897541928
"11-28-532-04308-569084",19.735,78.785,"Adilabad","Bela",0,0,0,"Holdout",NA,14.1796057324243,0.292986466467647
"11-28-532-04308-569085",19.735,78.775,"Adilabad","Bela",1,1,1,"Holdout",NA,69.2027637537315,1.42990387776704
"11-28-532-04308-569086",19.745,78.755,"Adilabad","Bela",0,0,0,"Holdout",NA,54.6161253586068,1.12850708848563
"11-28-532-04308-569087",19.725,78.755,"Adilabad","Bela",1,0,1,"Holdout",NA,66.7518239349636,1.37926127101362
"11-28-532-04308-569088",19.735,78.725,"Adilabad","Bela",0,0,0,"Holdout",NA,34.6364414989745,0.715676359222924
"11-28-532-04308-569089",19.725,78.725,"Adilabad","Bela",0,0,0,"Holdout",NA,53.3881954583771,1.10313495548509
"11-28-532-04308-569091",19.705,78.735,"Adilabad","Bela",1,1,1,"Holdout",NA,26.2473441214423,0.542336419884855
"11-28-532-04308-569092",19.715,78.745,"Adilabad","Bela",0,0,1,"Holdout",NA,56.7798935026785,1.17321600315856
"11-28-532-04308-569093",19.715,78.765,"Adilabad","Bela",1,0,0,"Holdout",NA,7.9114333493218,0.16347019412618
"11-28-532-04308-569096",19.715,78.815,"Adilabad","Bela",1,0,1,"Holdout",NA,38.0074647320702,0.78533021308055
"11-28-532-04308-569097",19.715,78.825,"Adilabad","Bela",0,0,1,"Holdout",NA,38.0789842087745,0.786807986098971
"11-28-532-04308-569098",19.715,78.845,"Adilabad","Bela",0,0,0,"Holdout",NA,28.5095575988191,0.589079463777571
"11-28-532-04308-569099",19.685,78.845,"Adilabad","Bela",1,0,1,"Holdout",NA,5.91018154326436,0.122119277448152
"11-28-532-04308-569100",19.695,78.815,"Adilabad","Bela",0,0,0,"Holdout",NA,-3.50664022574076,-0.0724560434401761
"11-28-532-04308-569102",19.705,78.785,"Adilabad","Bela",0,0,0,"Holdout",NA,22.8640471328737,0.472428959240541
"11-28-532-04308-569103",19.695,78.775,"Adilabad","Bela",1,1,1,"Holdout",NA,13.6664700234419,0.282383786743673
"11-28-532-04308-569104",19.695,78.755,"Adilabad","Bela",1,1,1,"Holdout",NA,-6.71642848658651,-0.138778375555806
"11-28-532-04308-569105",19.685,78.735,"Adilabad","Bela",1,0,1,"Holdout",NA,4.84086055599146,0.100024405172234
"11-28-532-04308-569106",19.685,78.715,"Adilabad","Bela",1,0,0,"Holdout",NA,11.668368599664,0.241097964920151
"11-28-532-04308-569107",19.655,78.735,"Adilabad","Bela",0,1,1,"Holdout",NA,-10.4899739704283,-0.216749355724712
"11-28-532-04308-569108",19.635,78.735,"Adilabad","Bela",1,0,0,"Holdout",NA,-3.73919906196121,-0.0772612963474732
"11-28-532-04308-569109",19.635,78.705,"Adilabad","Bela",1,1,1,"Holdout",NA,7.71314751441582,0.159373107985989
"11-28-532-04308-569110",19.615,78.745,"Adilabad","Bela",1,1,1,"Holdout",NA,8.66523211789123,0.179045580480245
"11-28-532-04308-569111",19.595,78.775,"Adilabad","Bela",0,1,1,"Holdout",NA,-11.1211384862528,-0.229790808691794
"11-28-532-04308-569112",19.625,78.775,"Adilabad","Bela",1,1,1,"Holdout",NA,5.12017111865742,0.105795666824133
"11-28-532-04308-569113",19.655,78.765,"Adilabad","Bela",1,1,1,"Holdout",NA,-12.4253675201077,-0.256739474494249
"11-28-532-04308-569114",19.675,78.765,"Adilabad","Bela",0,1,1,"Holdout",NA,-21.4601635296997,-0.44342117834821
"11-28-532-04308-569115",19.685,78.785,"Adilabad","Bela",0,1,1,"Holdout",NA,2.88928779785275,0.0596999830936928
"11-28-532-04308-569116",19.675,78.795,"Adilabad","Bela",0,0,1,"Holdout",NA,-0.933298197511107,-0.0192842979000559
"11-28-532-04308-569117",19.675,78.815,"Adilabad","Bela",0,0,1,"Holdout",NA,35.7439517762664,0.738560318681567
"11-28-532-04308-569118",19.665,78.815,"Adilabad","Bela",1,1,1,"Holdout",NA,36.4483597582002,0.753115166642288
"11-28-532-04308-569119",19.675,78.835,"Adilabad","Bela",0,0,0,"Holdout",NA,4.01888985857541,0.0830404145930617
"11-28-532-04309-569120",19.665,78.285,"Adilabad","Talamadugu",1,0,0,"Holdout",NA,-8.96527141147219,-0.185245150065366
"11-28-532-04309-569121",19.665,78.325,"Adilabad","Talamadugu",0,0,0,"Holdout",NA,55.1159361364351,1.13883444147849
"11-28-532-04309-569122",19.665,78.355,"Adilabad","Talamadugu",0,0,0,"Holdout",NA,55.07652443403,1.13802009616854
"11-28-532-04309-569123",19.685,78.345,"Adilabad","Talamadugu",1,0,0,"Holdout",NA,57.9925663812673,1.19827288755884
"11-28-532-04309-569124",19.695,78.375,"Adilabad","Talamadugu",1,0,0,"Holdout",NA,29.8842561678572,0.617484208154884
"11-28-532-04309-569125",19.675,78.405,"Adilabad","Talamadugu",0,0,0,"Holdout",NA,23.8890403597957,0.493607908033343
"11-28-532-04309-569126",19.665,78.425,"Adilabad","Talamadugu",1,0,1,"Holdout",NA,-25.6663956745161,-0.530332557727
"11-28-532-04309-569127",19.665,78.445,"Adilabad","Talamadugu",0,0,0,"Holdout",NA,8.79605619844435,0.181748736393987
"11-28-532-04309-569128",19.645,78.455,"Adilabad","Talamadugu",0,0,1,"Holdout",NA,43.861937529484,0.90629840714133
"11-28-532-04309-569129",19.645,78.415,"Adilabad","Talamadugu",0,0,0,"Holdout",NA,57.6911704172804,1.19204528573673
"11-28-532-04309-569130",19.665,78.385,"Adilabad","Talamadugu",0,0,1,"Holdout",NA,34.0474643233057,0.703506603251875
