shrid2,state_name,district_name,subdistrict_name,clusters,wave,D,Ycons_raw,urban,tot_p,tot_f,Ylowinc_raw,Ymidinc_raw,Ylowinc,Ymidinc,Ycons
11-28-532-04306-568998,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,25352.46875,0,133,0.5789473684210527,0.75,0.03125,0,0,0
11-28-532-04306-568999,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,22154.765625,0,406,0.4802955665024631,0.6458333134651184,0.010416666977107525,0,0,0
11-28-532-04306-569000,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,18100.4765625,0,857,0.47724620770128356,0,0,1,1,1
11-28-532-04306-569001,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,21768.34375,0,2415,0.4993788819875776,0.22516556084156036,0.00827814545482397,0,0,0
11-28-532-04306-569002,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,25212.802734375,0,1409,0.5017743080198722,0.6900584697723389,0.10818713158369064,0,0,0
11-28-532-04306-569003,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,16115.19921875,0,265,0.5018867924528302,0.1320754736661911,0.01886792480945587,0,0,1
11-28-532-04306-569004,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,27525.22265625,0,762,0.4658792650918635,0.03743315488100052,0.005347593687474728,0,0,0
11-28-532-04306-569005,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,12041.2724609375,0,553,0.5117540687160941,0,0,1,1,1
11-28-532-04306-569006,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,19062.091796875,0,224,0.4732142857142857,0,0,1,1,0
11-28-532-04306-569007,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,21957.98046875,0,1769,0.48841153193894854,0.0023310023825615644,0,0,1,0
11-28-532-04306-569008,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,28343.42578125,0,1213,0.4921681780708986,0.0031250000465661287,0,0,1,0
11-28-532-04306-569009,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,22520.865234375,0,414,0.5120772946859904,0.009803921915590763,0.009803921915590763,0,0,0
11-28-532-04306-569010,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,16303.63671875,0,772,0.4948186528497409,0.03750000149011612,0.012500000186264515,0,0,1
11-28-532-04306-569011,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,13261.232421875,0,434,0.5069124423963134,0,0,1,1,1
11-28-532-04306-569012,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,18654.740234375,0,478,0.5292887029288703,0.06818182021379471,0,0,1,1
11-28-532-04306-569013,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,16091.7744140625,0,346,0.5,0.02631578966975212,0,0,1,1
11-28-532-04306-569014,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,22567.302734375,0,171,0.47953216374269003,0,0,1,1,0
11-28-532-04306-569015,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,13721.568359375,0,420,0.5166666666666667,0,0,1,1,1
11-28-532-04306-569016,andhra pradesh,adilabad,adilabad,ADILABAD ADILABAD,Holdout,NA,16914.208984375,0,661,0.4886535552193646,0,0,1,1,1
11-28-532-04307-569019,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,20222.654296875,0,1248,0.5104166666666666,0.023569023236632347,0.003367003286257386,0,0,0
11-28-532-04307-569020,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,26219.291015625,0,607,0.4925864909390445,0.03496503457427025,0.03496503457427025,0,0,0
11-28-532-04307-569022,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,17952.345703125,0,605,0.46942148760330576,0,0,1,1,1
11-28-532-04307-569023,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,19946.71875,0,316,0.5031645569620253,0.014084506779909134,0,0,1,0
11-28-532-04307-569024,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,19038.552734375,0,754,0.46949602122015915,0.03550295904278755,0,0,1,0
11-28-532-04307-569025,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,19464.810546875,0,1473,0.5302104548540394,0.03601108118891716,0.011080332100391388,0,0,0
11-28-532-04307-569026,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,15478.7578125,0,380,0.5078947368421053,0,0,1,1,1
11-28-532-04307-569028,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,21316.24609375,0,907,0.5292171995589857,0.05000000074505806,0.00909090880304575,0,0,0
11-28-532-04307-569029,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,18864.41796875,0,157,0.5031847133757962,0,0,1,1,1
11-28-532-04307-569030,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,18326.138671875,0,643,0.4976671850699845,0,0,1,1,1
11-28-532-04307-569031,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,20337.17578125,0,1406,0.4850640113798009,0.03669724613428116,0.0030581040773540735,0,0,0
11-28-532-04307-569033,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,22199.833984375,0,1272,0.4937106918238994,0.002923976629972458,0.002923976629972458,0,0,0
11-28-532-04307-569034,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,18337.265625,0,452,0.5221238938053098,0,0,1,1,1
11-28-532-04307-569035,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,22959.1171875,0,108,0.5462962962962963,0.37037035822868347,0,0,1,0
11-28-532-04307-569036,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,22093.509765625,0,2098,0.5028598665395615,0.05293005704879761,0.011342154815793037,0,0,0
11-28-532-04307-569038,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,21724.55078125,0,962,0.4916839916839917,0.1367521435022354,0.004273504484444857,0,0,0
11-28-532-04307-569040,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,17749.87109375,0,695,0.4776978417266187,0,0,1,1,1
11-28-532-04307-569041,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,41020.0390625,0,211,0.4218009478672986,0,0,1,1,0
11-28-532-04307-569042,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,20369,0,650,0.49230769230769234,0.02068965509533882,0.013793103396892548,0,0,0
11-28-532-04307-569044,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,15094.615234375,0,168,0.48214285714285715,0.02777777798473835,0.02777777798473835,0,0,1
11-28-532-04307-569045,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,18730.220703125,0,1188,0.5008417508417509,0.011070110835134983,0.007380073890089989,0,0,1
11-28-532-04307-569046,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,20276.650390625,0,977,0.49437052200614123,0.004545454401522875,0.004545454401522875,0,0,0
11-28-532-04307-569047,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,20142.59765625,0,862,0.5034802784222738,0.005263158120214939,0.005263158120214939,0,0,0
11-28-532-04307-569048,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,22101.955078125,0,1290,0.4937984496124031,0.009646302089095116,0,0,1,0
11-28-532-04307-569049,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,23319.2109375,0,1917,0.5059989567031821,0.33193278312683105,0.04411764815449715,0,0,0
11-28-532-04307-569050,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,20677.044921875,0,1526,0.4954128440366973,0.058139536529779434,0.029069768264889717,0,0,0
11-28-532-04307-569052,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,24919.189453125,0,1296,0.5208333333333334,0.055194806307554245,0.012987012974917889,0,0,0
11-28-532-04307-569054,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,20412.375,0,272,0.4889705882352941,0,0,1,1,0
11-28-532-04307-569056,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,24475.994140625,0,1311,0.498093058733791,0.055727552622556686,0.006191950291395187,0,0,0
11-28-532-04307-569057,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,21455.79296875,0,909,0.506050605060506,0.02654867246747017,0,0,1,0
11-28-532-04307-569058,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,23663.833984375,0,358,0.5223463687150838,0.04109589010477066,0.013698630034923553,0,0,0
11-28-532-04307-569059,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,24379.728515625,0,388,0.4845360824742268,0.010416666977107525,0,0,1,0
11-28-532-04307-569060,andhra pradesh,adilabad,jainad,JAINAD ADILABAD,Holdout,NA,23315.88671875,0,706,0.509915014164306,0,0,1,1,0
