shrid2,Ycons,Ylowinc,Ymidinc,wave,D,R_PC1,R_PC1_scaled
11-28-543-04833-583040,0,0,0,Treatment,1,45.12167643240287,0.9244904791643381
11-28-543-04833-583041,0,0,1,Treatment,1,34.61659871156182,0.7092536993352831
11-28-543-04833-583042,1,0,0,Treatment,1,21.58997764422651,0.44235343975661323
11-28-543-04833-583043,0,0,0,Treatment,1,39.24205375158609,0.8040238737704315
11-28-543-04833-583044,0,0,0,Treatment,1,28.10607524745621,0.5758606733479034
11-28-543-04833-583045,0,0,0,Treatment,1,14.621709944241367,0.2995817687049935
11-28-543-04833-583046,0,0,0,Treatment,1,31.413055706345624,0.643616842682744
11-28-543-04833-583047,0,0,0,Treatment,1,32.90310945035522,0.6741463045444669
11-28-543-04833-583048,0,0,0,Treatment,1,-67.45650630440656,-1.3821050715954524
11-28-543-04833-583049,0,0,0,Treatment,1,48.42423434633326,0.9921560357154445
11-28-543-04833-583050,0,0,0,Treatment,1,-1.893224665085334,-0.038789963409550356
11-28-543-04833-583052,1,0,0,Treatment,1,-46.05311681974269,-0.9435746054222538
11-28-543-04833-583053,0,1,1,Treatment,1,-48.34617331332856,-0.9905566562705185
11-28-543-04833-583054,0,0,0,Treatment,1,-9.464025675620192,-0.1939068386518229
11-28-543-04833-583055,0,0,1,Treatment,1,-91.12444635299187,-1.8670335353933174
11-28-543-04833-583056,0,0,0,Treatment,1,-41.729243395524946,-0.8549834862560696
11-28-543-04833-583057,0,0,0,Treatment,1,-20.467574654077314,-0.4193567126794834
11-28-543-04833-583058,0,0,0,Treatment,1,-43.511458426883166,-0.8914989918530877
11-28-543-04834-583059,0,0,0,Treatment,1,39.659984231927346,0.8125867814586442
11-28-543-04834-583060,1,0,0,Treatment,1,42.46696702951575,0.8700985823651595
11-28-543-04834-583061,1,0,0,Treatment,1,-91.20507285606868,-1.8686854783253248
11-28-543-04834-583062,0,0,0,Treatment,1,-104.96142160478702,-2.1505370062778977
11-28-543-04834-583063,0,0,0,Treatment,1,4.356530441953319,0.08926022333875802
11-28-543-04834-583064,1,0,0,Treatment,1,-70.52551327919275,-1.4449854420295898
11-28-543-04834-583065,0,0,0,Treatment,1,35.08710983398538,0.7188939230019096
11-28-543-04834-583066,0,0,0,Treatment,1,45.22474954878002,0.9266023270007372
11-28-543-04834-583067,1,1,1,Treatment,1,54.376453358508726,1.1141100551965453
11-28-543-04834-583068,0,0,0,Treatment,1,48.66451878051884,0.9970791832857425
11-28-543-04834-583069,0,0,0,Treatment,1,41.92748272178035,0.8590451786445082
11-28-543-04834-583070,1,0,0,Treatment,1,42.29570114827332,0.8665895443786937
