"pc11_tv_id","village_id","district","R_bal","R_max","R_prob","Y","Y_recon","S","D","rabovemed","baseline_complete","listing_not_complete","vill_added_back"
"035694",1015,"Bathinda",0,0,0.29472291469574,0,0,"o",1,1,1,0,0
"035694",1015,"Bathinda",0,0,0.340054929256439,NA,NA,"e",1,1,1,0,0
"035675",1017,"Bathinda",1,0,0.351081788539886,NA,NA,"e",0,1,1,0,0
"035675",1017,"Bathinda",1,0,0.350317656993866,NA,NA,"e",0,1,1,0,0
"035675",1017,"Bathinda",1,0,0.382305026054382,NA,NA,"e",0,1,1,0,0
"035675",1017,"Bathinda",0,0,0.276015758514404,NA,NA,"e",0,1,1,0,0
"035675",1017,"Bathinda",1,0,0.368533909320831,NA,NA,"e",0,1,1,0,0
"035675",1017,"Bathinda",1,0,0.360110342502594,NA,NA,"e",0,1,1,0,0
"035675",1017,"Bathinda",0,0,0.290821850299835,NA,NA,"e",0,1,1,0,0
"035675",1017,"Bathinda",1,0,0.414671361446381,NA,NA,"e",0,1,1,0,0
"035675",1017,"Bathinda",0,0,0.340018391609192,NA,NA,"e",0,1,1,0,0
"035675",1017,"Bathinda",1,1,0.436637938022614,NA,NA,"e",0,1,1,0,0
"035675",1017,"Bathinda",1,0,0.378969073295593,NA,NA,"e",0,1,1,0,0
"035675",1017,"Bathinda",1,0,0.372689008712769,NA,NA,"e",0,1,1,0,0
"035675",1017,"Bathinda",1,0,0.352709174156189,NA,NA,"e",0,1,1,0,0
"035675",1017,"Bathinda",0,0,0.344254851341248,NA,NA,"e",0,1,1,0,0
"035675",1017,"Bathinda",0,0,0.326709866523743,NA,NA,"e",0,1,1,0,0
"035675",1017,"Bathinda",1,0,0.382325172424316,NA,NA,"e",0,1,1,0,0
"035675",1017,"Bathinda",0,0,0.250066637992859,NA,NA,"e",0,1,1,0,0
"035818",1018,"Bathinda",0,0,0.253413379192352,NA,NA,"e",0,0,0,1,0
"035818",1018,"Bathinda",1,0,0.426648914813995,NA,NA,"e",0,0,0,1,0
"035818",1018,"Bathinda",1,1,0.488819897174835,NA,NA,"e",0,0,0,1,0
"035818",1018,"Bathinda",1,1,0.535335898399353,NA,NA,"e",0,0,0,1,0
"035818",1018,"Bathinda",1,0,0.426573693752289,NA,NA,"e",0,0,0,1,0
"035818",1018,"Bathinda",1,0,0.360167562961578,NA,NA,"e",0,0,0,1,0
"035818",1018,"Bathinda",1,1,0.556653022766113,NA,NA,"e",0,0,0,1,0
"035818",1018,"Bathinda",1,0,0.381880521774292,NA,NA,"e",0,0,0,1,0
"035818",1018,"Bathinda",0,0,0.330812036991119,NA,NA,"e",0,0,0,1,0
"035818",1018,"Bathinda",1,1,0.504854142665863,NA,NA,"e",0,0,0,1,0
"035818",1018,"Bathinda",0,0,0.236293196678162,NA,NA,"e",0,0,0,1,0
"035818",1018,"Bathinda",0,0,0.289232134819031,NA,NA,"e",0,0,0,1,0
"035825",1019,"Bathinda",0,0,0.304595768451691,NA,1,"o",1,0,0,0,0
"035825",1019,"Bathinda",0,0,0.182801783084869,NA,1,"o",1,0,0,0,0
"035825",1019,"Bathinda",0,0,0.250072002410889,NA,1,"o",1,0,0,0,0
"035825",1019,"Bathinda",0,0,0.267558217048645,NA,NA,"e",1,0,0,0,0
"035825",1019,"Bathinda",1,1,0.579478144645691,0,0,"o",1,0,0,0,0
"035825",1019,"Bathinda",0,0,0.294675469398499,NA,NA,"e",1,0,0,0,0
"035825",1019,"Bathinda",0,0,0.276601672172546,NA,NA,"e",1,0,0,0,0
"035825",1019,"Bathinda",0,0,0.284824073314667,NA,1,"o",1,0,0,0,0
"035825",1019,"Bathinda",0,0,0.23714554309845,NA,1,"o",1,0,0,0,0
"035825",1019,"Bathinda",0,0,0.329143941402435,0,0,"o",1,0,0,0,0
"035825",1019,"Bathinda",1,1,0.448752462863922,1,1,"o",1,0,0,0,0
"035825",1019,"Bathinda",1,1,0.549826741218567,1,1,"e",1,0,0,0,0
"035825",1019,"Bathinda",1,1,0.618054151535034,1,1,"e",1,0,0,0,0
"035825",1019,"Bathinda",0,0,0.304875552654266,NA,1,"o",1,0,0,0,0
"035895",1020,"Bathinda",0,0,0.147388458251953,0,0,"o",1,1,0,0,1
"035895",1020,"Bathinda",0,0,0.0472713112831116,NA,NA,"e",1,1,0,0,1
"035895",1020,"Bathinda",0,0,0.0475460886955261,0,0,"o",1,1,0,0,1
"035895",1020,"Bathinda",0,0,0.243557989597321,NA,NA,"e",1,1,0,0,1
"035895",1020,"Bathinda",1,0,0.362857162952423,0,0,"o",1,1,0,0,1
"035895",1020,"Bathinda",0,0,0.258197784423828,0,0,"o",1,1,0,0,1
"035895",1020,"Bathinda",0,0,0.273750007152557,0,0,"o",1,1,0,0,1
"035895",1020,"Bathinda",0,0,0.239269912242889,NA,NA,"e",1,1,0,0,1
"035895",1020,"Bathinda",0,0,0.337272703647614,0,0,"o",1,1,0,0,1
"035895",1020,"Bathinda",1,0,0.389335453510284,0,0,"o",1,1,0,0,1
"035895",1020,"Bathinda",0,0,0.0331799983978271,NA,NA,"e",1,1,0,0,1
"035895",1020,"Bathinda",1,1,0.476326763629913,NA,1,"o",1,1,0,0,1
"035845",1022,"Bathinda",0,0,0.0388500094413757,NA,NA,"e",0,0,0,1,0
"035845",1022,"Bathinda",0,0,0.247812390327454,NA,NA,"e",0,0,0,1,0
"035845",1022,"Bathinda",0,0,0.283105432987213,NA,NA,"e",0,0,0,1,0
"035845",1022,"Bathinda",0,0,0.27206164598465,NA,NA,"e",0,0,0,1,0
"035845",1022,"Bathinda",0,0,0.191079437732697,NA,NA,"e",0,0,0,1,0
"035845",1022,"Bathinda",0,0,0.163113713264465,NA,NA,"e",0,0,0,1,0
"035845",1022,"Bathinda",0,0,0.233500063419342,NA,NA,"e",0,0,0,1,0
"035845",1022,"Bathinda",0,0,0.25186824798584,NA,NA,"e",0,0,0,1,0
"035845",1022,"Bathinda",0,0,0.272034168243408,NA,NA,"e",0,0,0,1,0
"035845",1022,"Bathinda",0,0,0.22221451997757,NA,NA,"e",0,0,0,1,0
"035845",1022,"Bathinda",0,0,0.100739240646362,NA,NA,"e",0,0,0,1,0
"035860",1023,"Bathinda",0,0,0.155998110771179,NA,NA,"e",0,1,0,0,0
"035860",1023,"Bathinda",0,0,0.254927694797516,NA,NA,"e",0,1,0,0,0
"035860",1023,"Bathinda",0,0,0.238571882247925,NA,NA,"e",0,1,0,0,0
"035860",1023,"Bathinda",1,0,0.359484255313873,NA,NA,"e",0,1,0,0,0
"035860",1023,"Bathinda",1,0,0.354492425918579,NA,NA,"e",0,1,0,0,0
