shrid2,centroid_lat,centroid_lon,distance_km,lat,lon
11-28-551-05218-593215,14.449992680411931,78.15639934697344,0.5758902747740153,14.445,78.155
11-28-551-05218-593218,14.435364072638478,78.17782080735988,0.30678640999343415,14.435,78.175
11-28-551-05219-593219,14.482863727450104,78.219303305398185,0.5212283681825014,14.485,78.215
11-28-551-05219-593220,14.486332315407992,78.23175088323285,0.38030392762084353,14.485,78.235
11-28-551-05219-593221,14.463356413671868,78.23284537041869,0.29566120791933437,14.465,78.235
11-28-551-05219-593222,14.478103576608532,78.2846798,0.34720807770783946,14.475,78.285
11-28-551-05219-593224,14.391106388665527,78.17680780694133,0.4752500229419489,14.395,78.175
11-28-551-05219-593225,14.351127914992878,78.21569586362276,0.4375225837250933,14.355,78.215
11-28-551-05219-802997,14.42017511264447,78.23336279,0.5653640650829694,14.425,78.235
11-28-551-05220-593226,14.422499405328994,78.30030671875991,0.5775022056016194,14.425,78.305
11-28-551-05220-593227,14.397360972163655,78.28410851215143,0.2798487199815113,14.395,78.285
11-28-551-05220-593228,14.350531030720006,78.26279240744356,0.5515167583332801,14.355,78.265
11-28-551-05220-593229,14.321061083890378,78.31252624128452,0.5132785089798422,14.325,78.315
11-28-551-05220-593230,14.363272773698426,78.31932746807678,0.5047296194049331,14.365,78.315
11-28-551-05220-593231,14.412094474754213,78.32785395346362,0.4464238445666214,14.415,78.325
11-28-551-05220-593232,14.479268670040039,78.35825641875925,0.5907602188479045,14.475,78.355
11-28-551-05220-593233,14.437182237072575,78.36310448,0.31744311928363994,14.435,78.365
11-28-551-05220-593234,14.417648138844225,78.35984421998712,0.5997276112092247,14.415,78.355
11-28-551-05220-593235,14.391825415120367,78.37213887,0.46910624361937586,14.395,78.375
11-28-551-05220-593236,14.362012899928688,78.34730743281023,0.41531805677249517,14.365,78.345
11-28-551-05220-593237,14.363140341447174,78.36624731418614,0.246877708,14.365,78.365
11-28-551-05221-593238,14.619075134668066,78.26724002411947,0.5138197354594081,14.615,78.265
11-28-551-05221-593239,14.586310606253594,78.25079589665224,0.4758346798508706,14.585,78.255
11-28-551-05221-593240,14.58774242294706,78.28229251115455,0.4222290862674173,14.585,78.285
11-28-551-05221-593241,14.604533775446054,78.31573810880954,0.094950469,14.605,78.315
